,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
0,Counter-Strike,Nov 1 2000,88,68991,13033334,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,130.20300666
1,Team Fortress Classic,Apr 1 1999,0,2439,5399140,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,26.941708600000002
2,Day of Defeat,May 1 2003,79,2319,7621102,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,38.02929898000001
3,Deathmatch Classic,Jun 1 2001,0,888,7498965,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,37.41983535
4,Half-Life: Opposing Force,Nov 1 1999,0,2934,5399499,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,26.94350001
5,Ricochet,Nov 1 2000,0,1965,7488563,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,37.367929370000006
6,Half-Life,Nov 8 1998,96,12486,5927504,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,59.21576496
7,Counter-Strike: Condition Zero,Mar 1 2004,65,7067,10489261,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,104.78771739
8,Counter-Strike: Condition Zero,Mar 1 2004,65,7067,10489261,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,104.78771739
9,Half-Life: Blue Shift,Jun 1 2001,71,2219,5368650,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,26.7895635
10,Half-Life 2,Nov 16 2004,96,35792,9901173,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,98.91271827
11,Counter-Strike: Source,Nov 1 2004,88,53931,15433570,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,308.51706429999996
12,Half-Life: Source,Jun 1 2004,0,2547,2983660,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,29.8067634
13,Day of Defeat: Source,Jul 12 2010,80,7185,6400269,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,63.938687310000006
14,Half-Life 2: Deathmatch,Nov 1 2004,0,4328,14001822,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,69.86909178
15,Half-Life 2: Lost Coast,Oct 27 2005,0,4352,14844765,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
16,Half-Life Deathmatch: Source,May 1 2006,0,864,6796273,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,67.89476727
17,Half-Life 2: Episode One,Jun 1 2006,87,4437,6298399,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,50.32420801
18,Portal,Oct 10 2007,90,27535,9795716,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,97.85920284000001
19,Half-Life 2: Episode Two,Oct 10 2007,90,6104,5735062,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,45.82314538
20,Team Fortress 2,Oct 10 2007,92,383949,37878812,True,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
21,Left 4 Dead,Nov 17 2008,89,9980,4473517,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,89.42560483
22,Left 4 Dead 2,Nov 16 2009,89,140726,15574539,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,311.33503461
23,Dota 2,Jul 9 2013,90,590480,90687580,True,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
24,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
25,Alien Swarm,Jul 19 2010,77,14625,4819841,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
26,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
27,Counter-Strike: Global Offensive,Aug 21 2012,83,1427633,25833156,True,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,387.23900844
29,Red Orchestra: Ostfront 41-45,Mar 14 2006,81,1220,940689,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,9.39748311
30,Killing Floor,May 14 2009,72,44364,3496958,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,69.90419042
31,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
32,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
33,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
49,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
50,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
51,Quake III Arena,Aug 3 2007,0,656,319063,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,4.78275437
52,Quake IV,Aug 4 2011,81,509,173790,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,2.6051121
53,Wolfenstein 3D,Aug 3 2007,0,1061,288035,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.4372946500000001
54,Ultimate Doom,Aug 3 2007,0,2000,446580,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,2.2284342
55,Final DOOM,Aug 3 2007,0,389,374123,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.86687377
56,DOOM II,Aug 3 2007,83,1279,443890,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,2.2150111
57,QUAKE,Aug 3 2007,94,1266,340047,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.69683453
58,QUAKE II,Aug 3 2007,0,660,318525,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.58943975
59,QUAKE II Mission Pack: The Reckoning,Aug 3 2007,0,0,279247,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,2.99,0.83494853
60,QUAKE II Mission Pack: Ground Zero,Aug 3 2007,0,0,278171,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,2.99,0.83173129
61,QUAKE III: Team Arena,Aug 3 2007,69,0,317987,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,4.7666251299999995
62,HeXen: Beyond Heretic,Aug 3 2007,0,158,184551,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.92090949
63,HeXen: Deathkings of the Dark Citadel,Aug 3 2007,0,0,178632,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.8913736800000001
64,Heretic: Shadow of the Serpent Riders,Aug 3 2007,0,241,185089,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.92359411
65,The Ship: Murder Party,Jul 11 2006,76,5026,1364671,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,13.63306329
66,The Ship: Single Player,Nov 20 2006,0,706,1327366,False,True,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
67,Bloody Good Time,Oct 29 2010,73,716,116936,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.58351064
68,Shadowgrounds,May 8 2006,74,973,565669,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,3.95402631
75,Alpha Prime,Nov 7 2007,59,984,312427,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.55901073
76,Vampire: The Masquerade - Bloodlines,Mar 22 2007,80,3983,544326,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,10.88107674
77,GUN(tm),Oct 13 2006,76,351,70664,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,1.41257336
78,Call of Duty(r),Oct 13 2006,91,851,223470,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,4.4671653
79,Call of Duty(r) 2,Oct 13 2006,86,1307,340226,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,6.80111774
80,Call of Duty: United Offensive,Oct 13 2006,87,318,189034,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,3.7787896599999997
82,Act of War: Direct Action,Mar 12 2008,82,109,22598,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,2.99,0.06756802
83,ThreadSpace: Hyperbol,Jul 12 2007,0,0,26544,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.26517456
84,ARMA: Combat Operations,Mar 12 2008,74,181,45196,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,0.36111604
87,X3: Terran Conflict,Oct 16 2008,73,1262,544147,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99,15.99,8.70091053
90,X Rebirth,Nov 15 2013,33,5637,218806,False,False,True,False,False,False,False,True,False,False,False,False,False,29.99,29.99,6.5619919399999995
97,Call of Juarez(tm),Nov 8 2007,72,501,104381,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,1.04276619
101,Painkiller: Black Edition,Jan 24 2007,81,0,24033,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,2.49,0.05984217000000001
104,Painkiller Overdose,Oct 30 2007,65,374,256111,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,1.24,0.31757764
135,Zumas Revenge!,Sep 15 2009,78,225,102767,False,False,True,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.51280733
136,Sniper Elite,Jul 16 2009,76,866,421292,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,4.20870708
137,Judge Dredd: Dredd vs. Death,Mar 26 2009,55,425,62772,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,0.5015482800000001
139,Aliens versus Predator Classic 2000,Jan 15 2010,0,1084,184013,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.91822487
140,Advent Rising,Sep 14 2006,70,226,47169,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.47121831
141,BloodRayne,Sep 14 2006,65,307,66718,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.6665128200000001
142,BloodRayne 2,Sep 14 2006,67,224,67256,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.6718874400000001
143,Psychonauts,Oct 11 2006,87,5130,1413633,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,14.12219367
155,RoboBlitz,Nov 7 2006,80,0,36408,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.36371591999999997
159,S.T.A.L.K.E.R.: Shadow of Chernobyl,Mar 20 2007,82,4657,1029825,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99,19.99,20.58620175
160,Full Spectrum Warrior,Jul 17 2007,80,104,111376,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,1.11264624
161,Full Spectrum Warrior: Ten Hammers,Jul 17 2007,70,0,108686,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,1.0857731400000001
162,Titan Quest,Jun 26 2007,77,2218,1594238,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
163,Titan Quest - Immortal Throne,Mar 5 2007,80,2216,1047402,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
164,Company of Heroes,Jul 17 2007,93,3856,2972719,False,False,True,False,False,True,False,False,False,False,False,False,False,19.99,19.99,59.42465281
168,Condemned: Criminal Origins,Oct 29 2012,78,891,482988,False,False,True,False,False,False,False,False,False,False,False,False,False,14.95,14.95,7.2206706
178,Natural Selection 2,Oct 30 2012,80,7873,1680326,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,16.786456740000002
179,Natural Selection 2,Oct 30 2012,80,7873,1680326,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,16.786456740000002
180,STAR WARS(tm) Republic Commando(tm),Jul 8 2009,78,3763,1206485,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,12.05278515
182,STAR WARS(tm) Jedi Knight - Jedi Academy(tm),Sep 16 2009,81,3535,1536488,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,15.349515120000001
183,STAR WARS(tm) Jedi Knight II - Jedi Outcast(tm),Sep 16 2009,89,1433,1217963,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,12.167450370000001
185,STAR WARS(tm) Battlefront(tm) II,Jul 8 2009,78,16580,2466416,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,24.63949584
187,Armed and Dangerous(r),Jul 8 2009,78,0,19549,False,False,True,False,False,False,False,False,False,False,False,False,False,5.99,5.99,0.11709851
188,Shank,Oct 25 2010,67,1232,525494,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,5.249685060000001
189,Shank,Oct 25 2010,67,1232,525494,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,5.249685060000001
193,Making History: The Calm & the Storm,Mar 13 2007,70,453,67077,False,False,True,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.33471423000000006
196,The Longest Journey,May 1 2007,91,737,220421,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,9.99,2.20200579
197,Bloodline Champions,Oct 28 2011,79,1381,682066,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
198,Joint Task Force,Mar 27 2007,68,0,32462,False,False,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.32429538
200,Lost Planet(tm): Extreme Condition,Jun 26 2007,66,499,460570,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99,14.99,6.9039443
201,Devil May Cry(r) 3 Special Edition,Jun 12 2007,66,1401,225442,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,4.50658558
203,Commandos: Behind Enemy Lines,Mar 15 2007,0,854,468999,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,3.99,1.87130601
204,Commandos: Beyond the Call of Duty,Mar 15 2007,0,244,435819,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,3.99,1.73891781
205,Commandos 2: Men of Courage,Mar 15 2007,87,877,534103,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,3.99,2.13107097
206,Commandos 3: Destination Berlin,Mar 15 2007,72,415,499489,False,False,True,False,False,False,False,False,False,False,False,False,False,3.99,3.99,1.9929611100000002
207,Hitman 2: Silent Assassin,Mar 15 2007,87,1144,1309073,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,9.15042027
208,Hitman: Blood Money,Mar 15 2007,82,3895,1454166,False,False,True,False,False,False,False,False,False,False,False,False,False,8.99,8.99,13.07295234
209,Battlestations: Midway,Mar 15 2007,76,214,364259,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,2.54617041
210,Just Cause,Mar 15 2007,75,1565,1269616,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,8.87461584
211,Hitman: Codename 47,Mar 15 2007,73,1049,1134565,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,7.930609350000001
