,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
24,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
26,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
103,Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,69,321,89854,False,False,False,True,True,False,False,False,False,False,False,False,False,4.99,4.99,0.44837146
181,Indiana Jones(r) and the Fate of Atlantis(tm),Jul 8 2009,0,373,154420,False,False,False,True,False,False,False,False,False,False,False,False,False,5.99,5.99,0.9249758
184,The Dig(r),Jul 8 2009,0,370,133974,False,False,False,True,False,False,False,False,False,False,False,False,False,5.99,5.99,0.80250426
195,Dreamfall: The Longest Journey,Jan 12 2007,75,397,148143,False,False,False,True,False,False,True,False,False,False,False,False,False,19.99,19.99,2.96137857
196,The Longest Journey,May 1 2007,91,737,220421,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,9.99,2.20200579
200,Lost Planet(tm): Extreme Condition,Jun 26 2007,66,499,460570,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99,14.99,6.9039443
215,Tomb Raider: Legend,Mar 29 2007,82,921,860519,False,False,True,True,False,False,False,False,False,False,False,False,False,6.99,6.99,6.01502781
220,Runaway A Road Adventure,Mar 14 2007,74,212,120344,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,1.20223656
221,Runaway The Dream of The Turtle,Mar 14 2007,0,0,114425,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,1.14310575
224,X-Blades,Apr 30 2009,54,1846,547734,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,9.99,5.47186266
241,Tomb Raider: Anniversary,Jun 5 2007,83,1111,904281,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99,8.99,8.12948619
244,Tomb Raider: Underworld,Nov 21 2008,80,1079,936922,False,False,True,True,False,False,False,False,False,False,False,False,False,8.99,8.99,8.42292878
246,Just Cause 2,Mar 23 2010,84,27899,4240721,False,False,True,True,False,False,False,False,False,False,False,False,False,14.99,14.99,63.56840779
247,Sam & Max 101: Culture Shock,Jun 15 2007,0,176,155496,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
248,Sam & Max 102: Situation: Comedy,Jun 15 2007,0,0,152985,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
249,Sam & Max 103: The Mole the Mob and the Meatball,Jun 15 2007,0,0,152985,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
250,Sam & Max 104: Abe Lincoln Must Die!,Jun 15 2007,0,253,114604,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
251,Sam & Max 105: Reality 2.0,Jun 15 2007,0,0,150116,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
252,Sam & Max 106: Bright Side of the Moon,Jun 15 2007,0,0,149936,False,False,True,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
253,Sam & Max 201: Ice Station Santa,May 16 2008,82,0,146170,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
254,Sam & Max 202: Moai Better Blues,May 16 2008,80,0,145273,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
255,Sam & Max 203: Night of the Raving Dead,May 16 2008,79,0,145273,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
256,Sam & Max 204: Chariots of the Dogs,May 16 2008,85,0,145632,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
257,Sam & Max 205: What’s New Beelzebub?,May 16 2008,0,0,145811,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
258,Bone: Out From Boneville,Jun 17 2008,68,0,51653,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,0.5160134700000001
259,Bone: The Great Cow Race,Jun 17 2008,76,0,51115,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,0.5106388500000001
261,Strong Bads Cool Game for Attractive People: Season 1,Dec 18 2008,82,175,165181,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99,19.99,3.3019681899999997
262,Strong Bads Cool Game for Attractive People: Episode 2, ,0,0,165002,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
263,Strong Bads Cool Game for Attractive People: Episode 3, ,0,0,165002,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
264,Strong Bads Cool Game for Attractive People: Episode 4, ,0,0,166078,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
265,Strong Bads Cool Game for Attractive People: Episode 5, ,0,0,165002,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
300,Death to Spies,Mar 12 2008,69,450,81066,False,False,True,True,False,False,False,False,False,False,False,False,False,4.99,4.99,0.40451934
306,Blade Kitten,May 22 2014,52,670,64387,False,False,True,True,False,False,False,False,False,False,False,False,False,2.99,2.99,0.19251713
307,Haunted House(tm),Sep 28 2010,0,0,7533,False,False,False,True,False,False,False,False,False,False,False,False,False,5.99,5.99,0.04512267
310,Ghostbusters: Sanctum of Slime,Mar 23 2011,43,105,20805,False,False,True,True,False,False,False,False,False,False,False,False,False,9.99,9.99,0.20784195000000003
312,Kings Quest(tm) Collection,Jul 23 2009,0,0,74071,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99,19.99,1.4806792899999999
313,Space Quest(tm) Collection,Jul 23 2009,0,103,101512,False,False,False,True,False,False,False,False,False,False,False,False,False,19.99,19.99,2.0292248799999997
317,Prototype(tm),Jun 10 2009,79,2122,482271,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,9.640597289999999
321,Dead Mountaineers Hotel,Oct 28 2011,0,0,9506,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,0.09496494
322,A Stroke of Fate: Operation Valkyrie,Oct 28 2011,0,0,8071,False,False,False,True,False,False,False,False,False,False,False,False,False,9.99,9.99,0.08062929
332,Sherlock Holmes - Nemesis,Aug 7 2008,71,0,86985,False,False,False,True,False,False,True,False,False,False,False,False,False,9.99,9.99,0.8689801500000001
