,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
69,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
70,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
71,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
72,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
73,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
103,Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,69,321,89854,False,False,False,True,True,False,False,False,False,False,False,False,False,4.99,4.99,0.44837146
105,Bejeweled 2 Deluxe,Aug 30 2006,0,0,53805,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.26848695
106,Chuzzle Deluxe,Aug 30 2006,0,0,37663,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.18793837
107,Insaniquarium Deluxe,Aug 30 2006,0,414,86626,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.43226374
108,Zuma Deluxe,Aug 30 2006,0,118,55598,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.27743402
109,AstroPop Deluxe,Aug 30 2006,0,0,26544,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13245456
110,Bejeweled Deluxe,Aug 30 2006,0,0,36587,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.18256913
111,Big Money! Deluxe,Aug 30 2006,0,0,26006,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12976994
112,Dynomite Deluxe,Aug 30 2006,0,0,27799,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13871701
113,Feeding Frenzy 2 Deluxe,Aug 30 2006,0,159,124110,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6193089
114,Hammer Heads Deluxe,Aug 30 2006,0,0,25826,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12887174
115,Heavy Weapon Deluxe,Aug 30 2006,0,0,40712,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.20315288
116,Iggle Pop Deluxe,Aug 30 2006,0,0,24930,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12440070000000002
117,Pizza Frenzy Deluxe,Aug 30 2006,0,0,27261,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13603239
118,Rocket Mania Deluxe,Aug 30 2006,0,0,26544,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13245456
119,Typer Shark! Deluxe,Aug 30 2006,0,0,28158,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.14050842000000002
120,Talismania Deluxe,Aug 30 2006,0,0,26006,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12976994
121,Peggle Deluxe,Mar 6 2007,0,682,303818,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,1.5160518200000002
122,Peggle Extreme,Sep 11 2007,0,618,203024,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,0.0
123,Venice Deluxe,Jun 25 2007,0,0,24750,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.1235025
124,Mystery P.I.(tm) - The Lottery Ticket,Oct 16 2007,0,0,27261,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13603239
125,Amazing Adventures The Lost Tomb(tm),Dec 13 2007,0,0,27261,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13603239
126,Mystery P.I.(tm) - The Vegas Heist,Jun 5 2008,0,0,26723,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.13334777000000003
127,Amazing Adventures Around the World,Apr 15 2009,0,0,25647,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12797853
128,Peggle(tm) Nights,Oct 15 2008,76,248,209839,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,1.04709661
129,Bejeweled Twist,Nov 18 2008,78,0,36049,False,False,False,False,True,True,False,False,False,False,False,False,False,4.99,4.99,0.17988451
130,Mystery P.I.(tm) - The New York Fortune,Jan 28 2009,0,0,24392,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12171608
131,The Wizards Pen(tm),Feb 18 2009,0,0,24212,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.12081788
133,Escape Rosecliff Island,Apr 15 2009,0,124,116398,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.58082602
134,Mystery P.I. - Lost in Los Angeles,Jul 27 2009,0,0,18294,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.09128706
135,Zumas Revenge!,Sep 15 2009,78,225,102767,False,False,True,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.51280733
151,Poker Superstars II,Oct 5 2006,0,0,3228,False,True,False,False,True,True,False,False,False,False,False,False,False,9.99,9.99,0.03224772
177,Zen of Sudoku,Dec 14 2006,0,0,9147,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.04564353
202,Bullet Candy,Feb 14 2007,0,0,45734,False,True,False,False,True,False,False,False,False,False,False,False,False,3.99,3.99,0.18247866000000001
223,Azada,Apr 21 2010,0,0,1973,False,True,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,0.019710270000000002
260,Telltale Texas Hold Em,Jun 17 2008,0,0,52370,False,False,False,False,True,False,False,False,False,False,False,False,False,2.99,2.99,0.1565863
266,Geometry Wars: Retro Evolved,Jun 18 2007,76,507,167333,False,False,False,False,True,False,False,False,False,False,False,False,False,3.99,3.99,0.66765867
309,The UnderGarden,Nov 10 2010,67,0,26185,False,False,False,False,True,False,False,False,False,False,False,False,False,6.99,6.99,0.18303315
314,Aces of the Galaxy(tm),Jul 23 2009,0,0,5560,False,False,True,False,True,False,False,False,False,False,False,False,False,9.99,4.99,0.027744400000000002
337,Sherlock Holmes: The Mystery of the Persian Carpet, ,0,0,79273,False,False,False,True,True,False,False,False,False,False,False,False,False,9.99,9.99,0.79193727
340,Gumboy Tournament,May 19 2008,0,519,105996,False,True,False,False,True,False,False,False,False,False,False,True,False,2.99,2.99,0.31692804
344,Penguins Arena: Sednas World,Dec 18 2008,0,822,157828,False,True,True,False,True,False,False,False,False,False,False,False,False,5.99,5.99,0.9453897200000001
345,Obulis,Mar 19 2009,0,588,144018,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.7186498200000001
355,LUMINES(tm),Apr 18 2008,74,0,26006,False,False,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,0.25979994
