,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
448,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby), ,0,399,104023,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,1.0391897700000001
632,Overgrowth, ,0,2422,105278,False,True,True,False,False,False,False,False,True,False,False,False,False,29.99,29.99,3.1572872199999997
1492,Project Zomboid,Nov 8 2013,0,12449,735154,False,True,False,False,False,False,True,True,True,False,False,False,False,14.99,14.99,11.019958460000002
1668,AirMech(r),Nov 8 2012,0,6994,1296518,False,True,True,False,False,True,False,False,True,True,False,False,False,0.0,0.0,0.0
1860,Zombie Playground(tm),Jul 27 2015,0,0,39457,False,True,True,False,False,False,True,False,True,False,False,False,False,14.99,14.99,0.59146043
1884,Waves2,Dec 16 2015,0,0,0,False,True,True,False,True,False,False,False,True,False,False,False,False,9.99,9.99,0.0
1901,Smashmuck Champions,Sep 11 2013,0,898,0,False,True,True,False,False,False,False,False,True,True,False,False,False,0.0,0.0,0.0
1950,DayZ,Dec 16 2013,0,153350,3610845,False,True,True,False,False,False,False,False,True,False,False,False,True,34.99,34.99,126.34346655000002
1990,Blockscape,Jul 3 2014,0,645,17935,False,True,False,False,True,True,True,True,True,False,False,False,False,19.99,19.99,0.35852064999999994
2010,Folk Tale,May 2013,0,1437,99718,False,True,False,False,False,True,True,True,True,False,False,False,False,19.99,19.99,1.9933628199999998
2017,Clockwork Empires,Aug 15 2014,0,378,19549,False,True,False,False,False,True,False,True,True,False,False,False,False,29.99,29.99,0.58627451
2076,Serious Sam Classics: Revolution,Apr 30 2014,0,1030,711480,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,7.107685200000001
2078,Castle Story,Sep 23 2013,0,3405,199437,False,True,False,False,False,True,False,False,True,False,False,False,False,19.99,19.99,3.9867456299999997
2081,Heroes & Generals,Jul 11 2014,0,54072,12908686,True,True,True,False,False,False,False,False,True,True,False,False,True,0.0,0.0,0.0
2087,Next Car Game: Wreckfest,Jan 14 2014,0,6056,317449,False,True,True,False,False,False,False,True,True,False,True,True,False,39.99,39.99,12.694785509999999
2097,Hacker Evolution IMMERSION,Jul 29 2016,0,0,533,False,True,True,False,False,False,False,True,True,False,False,False,False,19.99,19.99,0.01065467
2112,Universe Sandbox 2,Aug 24 2015,0,3050,215220,False,True,False,False,True,False,False,True,True,False,False,False,False,24.99,24.99,5.3783478
2140,Killing Floor 2,Apr 21 2015,0,0,1046325,False,False,True,False,False,False,False,False,True,False,False,False,False,29.99,29.99,31.37928675
2146,Godus, ,0,0,310633,False,True,False,False,False,True,False,True,True,False,False,False,False,0.0,0.0,0.0
2169,Distance,Dec 9 2014,0,0,109045,False,True,True,False,False,False,False,False,True,False,False,True,False,19.99,19.99,2.17980955
2176,Kenshi, ,0,0,130746,False,True,False,False,False,True,True,True,True,False,False,False,False,19.99,19.99,2.6136125399999997
2207,Blitzkrieg 3,May 6 2015,0,1516,41788,False,False,False,False,False,True,False,False,True,False,False,False,True,29.99,29.99,1.2532221199999998
2222,Dungeon Defenders II,Dec 5 2014,0,0,2546405,False,True,True,False,False,True,True,False,True,True,False,False,False,0.0,0.0,0.0
2226,Interstellar Marines,Jul 2 2013,0,0,258263,False,True,True,False,False,False,True,True,True,False,False,False,False,9.99,9.99,2.58004737
2255,Planet Explorers,Mar 11 2014,0,3886,257725,False,True,True,True,False,False,True,True,True,False,False,False,False,24.99,24.99,6.44054775
2336,The Forest,May 30 2014,0,51125,2436105,False,True,True,True,False,False,False,True,True,False,False,False,False,14.99,14.99,36.517213950000006
2369,Take On Mars,Aug 1 2013,0,890,71919,False,False,False,False,False,False,False,True,True,False,False,False,False,21.99,21.99,1.5814988099999998
2383,StarMade,Dec 4 2014,0,1996,228491,False,True,True,True,False,True,True,True,True,False,False,False,False,14.99,14.99,3.42508009
2386,Space Engineers,Oct 23 2013,0,53882,2100542,False,True,True,False,False,True,False,True,True,False,False,False,False,24.99,24.99,52.49254458
2390,SNOW,Oct 10 2013,0,5699,1223523,True,True,False,False,False,False,False,True,True,True,True,False,False,0.0,0.0,0.0
2412,Paranormal,Sep 12 2013,0,407,40354,False,True,True,True,False,False,False,True,True,False,False,False,False,9.99,9.99,0.40313646000000003
2423,Jeklynn Heights,May 25 2016,0,0,0,False,True,True,True,True,False,False,False,True,False,False,False,False,6.99,6.99,0.0
2425,Recruits,Jul 31 2014,0,0,4842,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,0.048371580000000004
2427,Bombernauts,Jul 31 2015,0,0,4663,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,0.046583370000000006
2438,Gravi,Oct 8 2013,0,0,34614,False,True,False,False,False,False,False,False,True,False,False,False,False,4.99,4.99,0.17272386
2467,Kingdoms Rise,Nov 18 2013,0,952,55778,False,True,True,False,False,False,True,False,True,False,False,False,False,14.99,14.99,0.83611222
2486,Delver,Sep 6 2013,0,1656,130746,False,True,True,True,False,False,True,False,True,False,False,False,False,7.99,7.99,1.04466054
2510,C-Wars,Aug 13 2015,0,0,2152,False,True,True,False,False,True,True,False,True,False,False,False,False,12.99,12.99,0.02795448
2540,7 Days to Die,Dec 13 2013,0,33730,1850170,False,True,True,True,False,False,True,True,True,False,False,False,False,24.99,24.99,46.2357483
2547,Steel Storm A.M.M.O.,Sep 25 2013,0,0,1076,False,True,True,False,False,True,True,False,True,False,True,False,False,9.99,9.99,0.01074924
2552,World of Diving,Aug 26 2014,0,437,22957,False,True,False,True,False,False,False,True,True,False,False,False,False,19.99,19.99,0.45891043
2563,Dungeon Dashers,Oct 25 2013,0,153,9326,False,True,True,True,False,True,True,False,True,False,False,False,False,9.99,9.99,0.09316674000000001
2565,Maia,Dec 3 2013,0,568,35153,False,True,False,False,False,True,False,True,True,False,False,False,False,24.99,24.99,0.87847347
2575,Space Pirates And Zombies 2,May 17 2016,0,766,39457,False,True,True,True,False,True,True,True,True,False,False,False,False,19.99,19.99,0.78874543
2576,Rust,Dec 11 2013,0,145688,4684791,False,True,True,True,False,False,True,False,True,False,False,False,True,19.99,19.99,93.64897208999999
2587,Vox,Nov 12 2013,0,339,22419,False,True,True,True,False,False,True,False,True,False,False,False,False,9.99,9.99,0.22396581
2590,PULSAR: Lost Colony,Sep 15 2015,0,1041,67256,False,True,True,True,False,False,False,True,True,False,False,False,False,24.99,24.99,1.6807274399999999
2601,Stonehearth,Jun 3 2015,0,3007,163926,False,True,False,False,False,True,False,True,True,False,False,False,False,24.99,24.99,4.096510739999999
2638,Theme Park Studio,Feb 27 2014,0,366,17397,False,True,False,False,False,False,False,True,True,False,False,False,False,29.99,29.99,0.52173603
2661,Entropy,Dec 9 2013,0,454,23136,False,False,True,False,False,True,True,True,True,False,False,False,True,19.99,19.99,0.46248863999999995
2682,Project Nimbus,Nov 5 2014,0,540,23853,False,True,True,False,False,False,False,False,True,False,False,False,False,14.99,14.99,0.35755647
2705,Race To Mars,Mar 7 2014,0,183,8609,False,True,False,False,False,True,False,True,True,False,False,False,False,19.99,19.99,0.17209390999999996
2738,Drifter,Mar 4 2014,0,143,9326,False,True,True,False,False,False,False,True,True,False,False,False,False,11.99,11.99,0.11181874
2744,EDEN STAR,Jan 30 2015,0,517,33000,False,True,True,True,False,True,False,False,True,False,False,False,False,19.99,19.99,0.65967
2794,Steam Bandits: Outpost,Jan 14 2014,0,0,12734,False,True,False,True,True,False,True,False,True,False,False,False,False,19.99,19.99,0.25455266
2849,Bot Colony,Jun 16 2014,0,0,1076,False,True,False,True,True,False,False,True,True,False,False,False,False,0.0,0.0,0.0
2856,Signs of Life,Jan 27 2014,0,464,51294,False,True,True,True,True,False,True,False,True,False,False,False,False,9.99,9.99,0.51242706
2882,Zombie Grinder,Oct 16 2015,0,232,11837,False,True,True,True,False,False,True,False,True,False,False,False,False,8.99,8.99,0.10641463000000001
2905,Children of Liberty,Apr 18 2014,0,0,1793,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,0.01791207
2913,Subnautica,Dec 16 2014,0,20434,1061570,False,True,False,True,False,False,False,False,True,False,False,False,False,19.99,19.99,21.2207843
2951,Astral Terra,Nov 10 2015,0,105,3587,False,True,True,True,False,False,True,False,True,False,False,False,False,14.99,14.99,0.05376913
2959,Calibre 10 Racing,Mar 26 2014,0,0,13989,False,False,True,False,False,False,False,False,True,False,False,True,False,9.99,9.99,0.13975011
2962,Anarchy Arcade,Sep 3 2014,0,2194,639023,False,True,False,False,True,False,False,False,True,True,False,False,False,0.0,0.0,0.0
2963,Conquest of Champions,Apr 23 2014,0,251,142942,False,True,False,False,False,True,True,False,True,True,False,False,False,0.0,0.0,0.0
2964,Dark Horizons: Mechanized Corps,Jul 22 2014,0,0,1793,False,True,True,False,False,False,False,True,True,False,False,False,False,14.99,14.99,0.02687707
2967,Spark Rising,May 8 2014,0,0,29772,False,True,True,False,False,False,False,False,True,False,False,False,False,1.99,1.99,0.05924628
3002,From the Depths,Aug 7 2014,0,2437,209660,False,True,True,True,False,True,True,True,True,False,False,False,False,19.99,19.99,4.191103399999999
3003,The Memory of Eldurim,Feb 7 2014,0,144,12196,False,True,True,True,False,False,True,False,True,False,False,False,False,19.99,19.99,0.24379803999999997
3011,Malevolence: The Sword of Ahkranox,May 9 2014,0,0,2332,False,True,False,True,False,False,True,False,True,False,False,False,False,19.99,19.99,0.046616679999999994
3012,You Are Not The Hero,Jun 2 2015,0,0,1793,False,True,False,True,False,False,True,False,True,False,False,False,False,14.99,14.99,0.02687707
3026,Montas,Mar 24 2014,0,132,38201,False,True,False,True,False,False,False,False,True,False,False,False,False,9.99,9.99,0.38162799
3031,Voice of Pripyat,Nov 19 2014,0,0,5201,False,True,True,False,False,False,False,False,True,False,False,False,True,6.99,6.99,0.03635499
3034,Claustrophobia: The Downward Struggle,Sep 9 2014,0,151,23853,False,True,False,False,False,True,True,False,True,False,False,False,False,4.99,4.99,0.11902647
3035,Arcane Worlds,Jan 28 2014,0,170,28875,False,True,True,True,False,True,False,False,True,False,False,False,False,9.99,9.99,0.28846125
