,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
20,Team Fortress 2,Oct 10 2007,92,383949,37878812,True,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
23,Dota 2,Jul 9 2013,90,590480,90687580,True,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
197,Bloodline Champions,Oct 28 2011,79,1381,682066,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
303,Champions Online,Jun 14 2011,72,2160,777480,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
304,Star Trek Online,Jan 31 2012,76,7304,1604461,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
354,Dragon Nest,Dec 18 2012,0,1481,628979,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
483,Tribes: Ascend,Jun 27 2012,86,7269,1883350,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
499,Pirates Vikings and Knights II,Feb 12 2010,0,2862,693904,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
500,Dystopia,Feb 6 2009,0,692,224725,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
502,Empires Mod,Jul 28 2008,0,451,100615,False,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
611,DC Universe(tm) Online,Nov 2 2011,72,9610,2414763,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
876,Forsaken World,Jun 14 2011,69,821,425238,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
996,CrimeCraft: GangWars,Aug 22 2011,68,1844,835052,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
999,RIFT,Mar 1 2011,84,8009,2640923,True,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1050,Altitude,Dec 4 2009,79,1406,453754,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1161,Stronghold Kingdoms,Feb 27 2012,75,6647,1426905,False,False,False,False,False,True,False,False,False,True,False,False,True,0.0,0.0,0.0
1226,Tactical Intervention,Oct 8 2013,47,13219,2549634,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1452,Spiral Knights,Jun 14 2011,64,15519,2751402,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1453,Puzzle Pirates,Aug 31 2011,0,957,411069,False,False,False,True,True,True,False,False,False,True,False,False,True,0.0,0.0,0.0
1461,A.V.A. Alliance of Valiant Arms(tm),Jun 14 2011,0,8010,1343508,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1470,Super MNC,Apr 19 2012,76,4379,1382247,False,True,True,False,False,True,False,False,False,True,True,False,False,0.0,0.0,0.0
1471,ORION: Prelude,Apr 15 2013,0,27713,2330469,False,True,True,True,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1487,War Inc. Battlezone,Jul 18 2011,0,3030,1249349,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1497,MicroVolts Surge,Jul 5 2012,0,3515,860519,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1499,Neverwinter,Dec 5 2013,74,18128,4486609,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1518,APB Reloaded,Dec 6 2011,0,24608,4571083,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1519,Fallen Earth Free2Play,Feb 22 2012,71,6303,1947736,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1539,Realm of the Mad God,Feb 20 2012,82,22224,2768440,False,True,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1561,Pox Nora,Oct 15 2014,0,407,425597,False,False,False,False,False,True,True,False,False,True,False,False,False,0.0,0.0,0.0
1562,EverQuest(r) II Free-To-Play. Your Way.(tm),Dec 7 2011,83,819,598848,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1596,Americas Army: Proving Grounds,Aug 2013,0,6142,2146276,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1646,Everquest (r),Dec 13 2012,0,492,453396,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1652,Chronicle: RuneScape Legends,May 26 2016,76,1405,325161,True,False,False,True,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
1660,Gotham City Impostors Free to Play,Aug 30 2012,0,9300,2637874,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1667,Dungeons & Dragons Online(r),Jun 25 2012,0,1442,728877,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1668,AirMech(r),Nov 8 2012,0,6994,1296518,False,True,True,False,False,True,False,False,True,True,False,False,False,0.0,0.0,0.0
1681,ArcheBlade(tm),Apr 25 2014,0,6963,2016427,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1702,Moon Breakers,May 17 2012,0,429,355292,False,True,True,False,False,False,False,True,False,True,False,False,False,0.0,0.0,0.0
1703,Loadout,Jan 31 2014,72,40106,5482896,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1745,War of the Immortals,Aug 30 2012,0,274,438330,False,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1751,Blacklight: Retribution,Jul 2 2012,75,14567,2896137,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1783,RaceRoom Racing Experience,Feb 12 2013,0,5750,3133058,True,False,False,False,False,False,False,True,False,True,True,True,False,0.0,0.0,0.0
1795,Star Conflict,Feb 27 2013,75,8394,1959394,False,False,True,False,False,False,False,True,False,True,False,False,True,0.0,0.0,0.0
1797,Vindictus,Jun 22 2012,76,3784,933515,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1798,Mabinogi,Dec 6 2012,0,1922,555446,False,False,True,True,True,False,True,True,False,True,False,False,True,0.0,0.0,0.0
1799,Atlantica Online,Jun 29 2012,0,115,295389,False,False,True,False,False,True,True,False,False,True,False,False,True,0.0,0.0,0.0
1800,Continent of the Ninth Seal,Sep 13 2012,0,1014,626468,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1803,The Lord of the Rings Online,Jun 6 2012,86,5405,2129597,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1809,Super Crate Box,Aug 29 2012,0,6179,1018526,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1812,The Lord of the Rings Online,Jun 6 2012,86,5405,0,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1819,Dwarfs - F2P,Oct 18 2012,0,1468,587370,False,True,False,False,True,True,False,False,False,True,False,False,False,0.0,0.0,0.0
1831,Gear Up,Jan 28 2015,0,6992,2077227,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1850,WAKFU,Sep 18 2014,76,3373,1186039,False,False,False,True,False,True,True,False,False,True,False,False,True,0.0,0.0,0.0
1851,Ragnarok Online,Oct 31 2013,79,980,486934,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1852,ROSE Online,Oct 23 2012,0,360,459852,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1867,Dungeon-Party,Mar 13 2013,0,408,362286,False,False,False,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1872,MapleStory,Aug 9 2012,0,3378,715246,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1890,Age of Conan: Unchained,Feb 22 2013,0,777,452858,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1898,Dungeonland,Nov 12 2013,67,1866,1007407,False,False,True,False,True,False,False,False,False,True,False,False,False,0.0,0.0,0.0
1899,PlanetSide 2,Nov 20 2012,84,32759,7027275,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1900,Frontline Tactics,Oct 26 2012,0,1031,476711,False,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
