,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
28,Rag Doll Kung Fu,Oct 12 2005,69,0,35332,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.35296668
34,Darwinia,Jul 14 2005,84,444,674354,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,6.73679646
35,Uplink,Aug 23 2006,75,1240,728339,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,7.27610661
36,DEFCON,Sep 29 2006,84,1655,811736,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,8.10924264
37,Multiwinia,Sep 19 2008,76,340,619832,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,6.19212168
65,The Ship: Murder Party,Jul 11 2006,76,5026,1364671,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,13.63306329
66,The Ship: Single Player,Nov 20 2006,0,706,1327366,False,True,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
69,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
70,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
71,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
72,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
73,RIP - Trilogy(tm),Jun 1 2007,0,291,137920,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.6882208000000001
74,Vigil: Blood Bitterness(tm),Jun 29 2007,61,129,63310,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
83,ThreadSpace: Hyperbol,Jul 12 2007,0,0,26544,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.26517456
150,Garrys Mod,Nov 29 2006,0,237684,12790674,False,True,False,False,False,False,False,True,False,False,False,False,False,9.99,9.99,127.77883326
151,Poker Superstars II,Oct 5 2006,0,0,3228,False,True,False,False,True,True,False,False,False,False,False,False,False,9.99,9.99,0.03224772
155,RoboBlitz,Nov 7 2006,80,0,36408,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.36371591999999997
177,Zen of Sudoku,Dec 14 2006,0,0,9147,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.04564353
178,Natural Selection 2,Oct 30 2012,80,7873,1680326,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,16.786456740000002
179,Natural Selection 2,Oct 30 2012,80,7873,1680326,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,16.786456740000002
188,Shank,Oct 25 2010,67,1232,525494,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,5.249685060000001
189,Shank,Oct 25 2010,67,1232,525494,False,True,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,5.249685060000001
199,Nexus - The Jupiter Incident,Jul 3 2007,77,333,81604,False,True,False,False,False,True,False,True,False,False,False,False,False,9.99,9.99,0.81522396
202,Bullet Candy,Feb 14 2007,0,0,45734,False,True,False,False,True,False,False,False,False,False,False,False,False,3.99,3.99,0.18247866000000001
223,Azada,Apr 21 2010,0,0,1973,False,True,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,0.019710270000000002
277,Axel & Pixel,Oct 6 2010,0,0,17756,False,True,False,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.08860244
296,Gish,Jul 20 2007,80,219,307943,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,3.0763505700000002
340,Gumboy Tournament,May 19 2008,0,519,105996,False,True,False,False,True,False,False,False,False,False,False,True,False,2.99,2.99,0.31692804
341,Space Trader: Merchant Marine,Oct 23 2008,0,557,159980,False,True,True,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.7983002
344,Penguins Arena: Sednas World,Dec 18 2008,0,822,157828,False,True,True,False,True,False,False,False,False,False,False,False,False,5.99,5.99,0.9453897200000001
345,Obulis,Mar 19 2009,0,588,144018,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.7186498200000001
346,Larva Mortus,Mar 19 2009,64,619,143300,False,True,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.715067
347,Chains,Jul 1 2009,0,474,149398,False,True,False,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.74549602
406,AudioSurf,Feb 15 2008,85,8181,1412737,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,14.11324263
407,Ninja Reflex: Steamworks Edition,Mar 21 2008,57,0,13989,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.06980511
445,Harvest: Massive Encounter,Jan 23 2009,0,0,42865,False,True,False,False,False,True,False,False,False,False,False,False,False,7.99,7.99,0.34249135
446,The Wonderful End of the World,Jul 17 2008,0,467,127518,False,True,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,1.27390482
447,AaAaAA!!! - A Reckless Disregard for Gravity,Sep 3 2009,81,579,173969,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,1.73795031
448,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby), ,0,399,104023,False,True,True,False,False,False,False,False,True,False,False,False,False,9.99,9.99,1.0391897700000001
449,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Nov 23 2011,0,876,268666,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,2.6839733399999997
455,Planet Busters,Jun 30 2008,0,0,539,False,True,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,0.00538461
474,Everyday Shooter,May 8 2008,77,0,47348,False,True,False,False,True,False,False,False,False,False,False,False,False,9.99,9.99,0.47300652000000004
476,Chaos Theory,May 22 2008,0,0,2332,False,True,False,False,True,False,False,False,False,False,False,False,False,2.99,2.99,0.00697268
477,Trials 2: Second Edition,May 28 2008,0,169,107251,False,True,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,1.0714374899999999
478,Monster Trucks Nitro,Jan 29 2009,0,0,16680,False,True,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,0.33343319999999993
499,Pirates Vikings and Knights II,Feb 12 2010,0,2862,693904,False,True,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
