,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
197,Bloodline Champions,Oct 28 2011,79,1381,682066,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
267,EVE Online,Dec 15 2010,88,4269,592571,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,19.99,11.84549429
303,Champions Online,Jun 14 2011,72,2160,777480,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
304,Star Trek Online,Jan 31 2012,76,7304,1604461,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
354,Dragon Nest,Dec 18 2012,0,1481,628979,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
611,DC Universe(tm) Online,Nov 2 2011,72,9610,2414763,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
670,Guild Wars(r) Game of the Year Edition,Apr 22 2009,89,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,19.99,0.0
671,Guild Wars Factions(r),Apr 22 2009,84,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,19.99,0.0
672,Guild Wars Trilogy,Apr 22 2009,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,29.99,29.99,0.0
673,Guild Wars Nightfall(r),Apr 22 2009,84,0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,19.99,0.0
674,Guild Wars: Eye of the North(r),Oct 8 2010,79,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,19.99,19.99,0.0
876,Forsaken World,Jun 14 2011,69,821,425238,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
996,CrimeCraft: GangWars,Aug 22 2011,68,1844,835052,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
999,RIFT,Mar 1 2011,84,8009,2640923,True,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1005,FINAL FANTASY(r) XIV: A Realm Reborn(tm),Feb 18 2014,83,5022,499309,False,False,False,False,False,False,True,False,False,False,False,False,True,19.99,19.99,9.98118691
1161,Stronghold Kingdoms,Feb 27 2012,75,6647,1426905,False,False,False,False,False,True,False,False,False,True,False,False,True,0.0,0.0,0.0
1452,Spiral Knights,Jun 14 2011,64,15519,2751402,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1453,Puzzle Pirates,Aug 31 2011,0,957,411069,False,False,False,True,True,True,False,False,False,True,False,False,True,0.0,0.0,0.0
1497,MicroVolts Surge,Jul 5 2012,0,3515,860519,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1499,Neverwinter,Dec 5 2013,74,18128,4486609,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1518,APB Reloaded,Dec 6 2011,0,24608,4571083,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1519,Fallen Earth Free2Play,Feb 22 2012,71,6303,1947736,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1539,Realm of the Mad God,Feb 20 2012,82,22224,2768440,False,True,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1562,EverQuest(r) II Free-To-Play. Your Way.(tm),Dec 7 2011,83,819,598848,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1646,Everquest (r),Dec 13 2012,0,492,453396,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1667,Dungeons & Dragons Online(r),Jun 25 2012,0,1442,728877,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1745,War of the Immortals,Aug 30 2012,0,274,438330,False,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1795,Star Conflict,Feb 27 2013,75,8394,1959394,False,False,True,False,False,False,False,True,False,True,False,False,True,0.0,0.0,0.0
1797,Vindictus,Jun 22 2012,76,3784,933515,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1798,Mabinogi,Dec 6 2012,0,1922,555446,False,False,True,True,True,False,True,True,False,True,False,False,True,0.0,0.0,0.0
1799,Atlantica Online,Jun 29 2012,0,115,295389,False,False,True,False,False,True,True,False,False,True,False,False,True,0.0,0.0,0.0
1800,Continent of the Ninth Seal,Sep 13 2012,0,1014,626468,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1803,The Lord of the Rings Online,Jun 6 2012,86,5405,2129597,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1812,The Lord of the Rings Online,Jun 6 2012,86,5405,0,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1850,WAKFU,Sep 18 2014,76,3373,1186039,False,False,False,True,False,True,True,False,False,True,False,False,True,0.0,0.0,0.0
1851,Ragnarok Online,Oct 31 2013,79,980,486934,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1852,ROSE Online,Oct 23 2012,0,360,459852,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1854,The Secret World,Aug 8 2012,74,3131,418961,False,False,False,True,False,False,True,False,False,False,False,False,True,29.99,29.99,12.56464039
1867,Dungeon-Party,Mar 13 2013,0,408,362286,False,False,False,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1872,MapleStory,Aug 9 2012,0,3378,715246,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1890,Age of Conan: Unchained,Feb 22 2013,0,777,452858,False,False,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1899,PlanetSide 2,Nov 20 2012,84,32759,7027275,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
1950,DayZ,Dec 16 2013,0,153350,3610845,False,True,True,False,False,False,False,False,True,False,False,False,True,34.99,34.99,126.34346655000002
1969,Champions of Regnum,Feb 27 2013,0,701,449450,False,True,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
1986,Perpetuum,Oct 17 2014,0,520,22060,False,True,False,False,False,False,True,False,False,False,False,False,True,9.99,9.99,0.2203794
2015,Defiance,Jun 4 2014,64,9269,3409615,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2042,Marvel Heroes 2016,Jun 3 2013,81,11337,5098371,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2046,Infestation: Survivor Stories Classic,Dec 17 2012,0,24965,1089190,False,True,True,False,False,False,True,True,False,False,False,False,True,9.99,9.99,10.881008099999999
2061,Kingdom Wars,Apr 1 2013,0,2210,533027,False,True,False,False,False,True,True,True,False,True,False,False,True,0.0,0.0,0.0
2069,Darkfall Unholy Wars,Apr 25 2013,0,631,0,False,True,True,False,False,False,True,False,False,False,False,False,True,0.0,0.0,0.0
2074,Firefall,Jul 29 2014,60,8313,3018095,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2081,Heroes & Generals,Jul 11 2014,0,54072,12908686,True,True,True,False,False,False,False,False,True,True,False,False,True,0.0,0.0,0.0
2114,FINAL FANTASY(r) XI: Ultimate Collection Seekers Edition,Apr 19 2013,0,0,14169,False,False,False,False,False,False,False,False,False,False,False,False,True,39.99,39.99,0.5666183100000001
2126,Ragnarok Online 2,May 1 2013,0,0,1230697,False,False,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2205,Prime World,Mar 31 2014,65,2745,595441,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2207,Blitzkrieg 3,May 6 2015,0,1516,41788,False,False,False,False,False,True,False,False,True,False,False,False,True,29.99,29.99,1.2532221199999998
2208,Kings Bounty: Legions,Dec 10 2013,0,0,233513,False,True,False,True,False,True,True,False,False,True,False,False,True,0.0,0.0,0.0
2227,War Thunder,Aug 15 2013,82,0,10461461,True,False,False,False,False,False,False,True,False,True,False,False,True,0.0,0.0,0.0
2243,Elsword,Jul 2 2014,0,4967,1090087,False,False,True,True,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2280,Path of Exile,Oct 23 2013,86,33124,6170343,False,True,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2300,Panzar,Nov 25 2013,0,4051,1122190,False,False,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
2315,The Crew(tm),Dec 1 2014,71,10427,333052,False,False,True,False,False,False,False,False,False,False,False,True,True,29.99,29.99,9.98822948
2411,Happy Wars,Jul 23 2014,0,6115,1878687,False,False,True,False,True,False,False,False,False,True,False,False,True,0.0,0.0,0.0
2444,Nether: Resurrected,Jun 5 2014,57,16685,717398,False,True,True,False,False,False,True,True,False,False,False,False,True,4.99,4.99,3.57981602
2482,NEStalgia,Apr 15 2014,0,257,30848,False,True,False,False,False,False,True,False,False,False,False,False,True,14.99,14.99,0.46241152
2483,The Castle Doctrine,Jan 29 2014,58,355,13989,False,True,False,False,False,True,False,False,False,False,False,False,True,15.99,15.99,0.22368411000000002
2506,8BitMMO,Jan 26 2015,0,5074,880427,False,True,True,True,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2576,Rust,Dec 11 2013,0,145688,4684791,False,True,True,True,False,False,True,False,True,False,False,False,True,19.99,19.99,93.64897208999999
2610,CABAL Online,Feb 17 2016,0,470,206252,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2661,Entropy,Dec 9 2013,0,454,23136,False,False,True,False,False,True,True,True,True,False,False,False,True,19.99,19.99,0.46248863999999995
2697,Infinity Wars: Animated Trading Card Game,Sep 5 2014,0,2769,644044,True,True,False,False,False,True,False,False,False,True,False,False,True,0.0,0.0,0.0
2727,Dragons Prophet,Sep 18 2013,63,704,267052,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2779,The Four Kings Casino and Slots,Jun 1 2015,0,2523,353139,False,False,False,False,True,False,False,True,False,True,False,False,True,0.0,0.0,0.0
2869,Villagers and Heroes,Apr 17 2014,0,2546,691751,False,True,False,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2901,La Tale,Jun 17 2014,0,1401,801872,False,False,True,True,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2932,Cannons Lasers Rockets,Aug 25 2014,0,543,237459,False,True,True,False,False,False,False,False,False,True,False,False,True,0.0,0.0,0.0
2945,City of Steam: Arkadia,Mar 6 2014,0,1228,359058,False,False,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
2961,iRacing,Jan 12 2015,79,357,19908,False,False,False,False,False,False,False,True,False,False,True,True,True,9.99,9.99,0.19888092000000002
2998,Aura Kingdom,Jul 2014,0,5089,2199543,False,False,False,True,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
3019,Hero Siege,Jan 29 2014,0,10883,907688,False,True,True,True,False,False,True,False,False,False,False,False,True,5.99,5.99,5.4370511200000005
3031,Voice of Pripyat,Nov 19 2014,0,0,5201,False,True,True,False,False,False,False,False,True,False,False,False,True,6.99,6.99,0.03635499
3114,Counter-Strike Nexon: Zombies,Oct 7 2014,0,24111,6954639,False,False,True,False,True,False,False,False,False,True,False,False,True,0.0,0.0,0.0
3282,Creativerse,Aug 12 2014,0,8837,2251196,True,True,True,True,True,False,True,True,True,True,False,False,True,0.0,0.0,0.0
3341,Lucent Heart,Feb 11 2016,0,201,150474,False,False,False,True,True,False,True,False,False,True,False,False,True,0.0,0.0,0.0
3343,Colonies Online,May 1 2014,0,190,13631,False,True,True,False,False,False,True,False,True,False,False,False,True,14.99,14.99,0.20432869
3467,Selfie : Sisters of the Amniotic Lens,May 8 2015,0,0,18832,False,True,False,True,True,False,False,True,False,False,False,False,True,4.99,4.99,0.09397168
3486,Mortal Online,Aug 31 2015,0,2011,595799,False,True,True,False,False,False,True,False,False,True,False,False,True,0.0,0.0,0.0
