,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
94,FlatOut 2(tm),Dec 21 2006,76,2870,417346,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,4.16928654
95,GTI Racing,Aug 24 2006,0,0,30669,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.15303831
96,Xpand Rally,Aug 24 2006,82,116,48245,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.24074255000000003
98,Xpand Rally Xtreme,Oct 8 2008,0,0,28158,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.14050842000000002
152,RACE - The WTCC Game,Nov 24 2006,0,126,250551,False,False,False,False,False,False,False,False,False,False,False,True,False,39.99,39.99,10.01953449
153,RACE - The WTCC Game,Nov 24 2006,0,126,250551,False,False,False,False,False,False,False,False,False,False,False,True,False,39.99,39.99,10.01953449
154,RACE: Caterham Expansion,Jun 22 2007,0,0,138996,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.69359004
192,FlatOut,Feb 2 2007,72,1241,309737,False,False,False,False,False,False,False,False,False,False,False,True,False,7.49,7.49,2.31993013
194,Ducati World Championship,Sep 21 2007,35,161,41609,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.20762891
219,Trackmania United Forever Star Edition,Apr 16 2008,80,633,129849,False,False,False,False,False,False,False,False,False,False,False,True,False,29.99,29.99,3.8941715099999996
237,Death Track(r): Resurrection,May 6 2009,53,0,42685,False,False,False,False,False,False,False,False,False,False,False,True,False,2.99,2.99,0.12762815
268,RACE 07,Oct 15 2007,83,1637,1139587,False,False,False,False,False,False,False,False,False,False,False,True,False,3.99,3.99,4.54695213
269,RACE On,Oct 16 2009,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,7.99,7.99,0.0
270,GTR 2 FIA GT Racing Game,Dec 12 2012,0,132,91468,False,False,False,False,False,False,False,True,False,False,True,True,False,7.99,7.99,0.7308293200000001
305,Test Drive Unlimited 2,Feb 2011,72,5972,419499,False,False,False,False,False,False,False,False,False,False,False,True,False,19.99,19.99,8.38578501
331,TrackMania Nations Forever,Apr 16 2008,0,5077,2040998,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,0.0,0.0
340,Gumboy Tournament,May 19 2008,0,519,105996,False,True,False,False,True,False,False,False,False,False,False,True,False,2.99,2.99,0.31692804
349,Crash Time 2,Aug 27 2009,0,1810,521907,False,False,True,False,False,False,False,False,False,False,False,True,False,9.99,9.99,5.2138509299999996
363,Midnight Club 2,Jan 4 2008,81,384,212888,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,2.12675112
373,FlatOut: Ultimate Carnage,Aug 26 2008,79,1450,329106,False,False,False,False,False,False,False,False,False,False,False,True,False,19.99,19.99,6.578828939999999
386,18 Wheels of Steel: American Long Haul,Jan 29 2008,0,272,64207,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,0.6414279300000001
392,Sprint Cars Road to Knoxville,Jul 29 2008,0,0,27979,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,0.27951021000000004
393,Midnight Outlaw: 6 Hours to SunUp,Jul 29 2008,0,0,27440,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,0.2741256
401,GRID(tm),Jun 4 2008,87,2893,734257,False,False,False,False,False,False,False,False,False,False,False,True,False,14.99,14.99,11.006512429999999
477,Trials 2: Second Edition,May 28 2008,0,169,107251,False,True,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,1.0714374899999999
478,Monster Trucks Nitro,Jan 29 2009,0,0,16680,False,True,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,0.33343319999999993
493,Need for Speed Undercover,Dec 19 2008,65,1726,301666,False,False,True,False,False,False,False,False,False,False,False,True,False,9.99,9.99,3.01364334
521,Zero Gear,Jan 12 2010,0,716,117295,False,True,True,False,False,False,False,False,False,False,True,True,False,4.99,4.99,0.58530205
558,Pyroblazer(r),Nov 13 2008,0,0,3049,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.01521451
565,Driver(r) Parallel Lines,Feb 13 2009,61,197,23136,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,0.23112864000000002
