,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
0,Counter-Strike,Nov 1 2000,88,68991,13033334,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,130.20300666
2,Day of Defeat,May 1 2003,79,2319,7621102,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,38.02929898000001
6,Half-Life,Nov 8 1998,96,12486,5927504,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,59.21576496
7,Counter-Strike: Condition Zero,Mar 1 2004,65,7067,10489261,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,104.78771739
8,Counter-Strike: Condition Zero,Mar 1 2004,65,7067,10489261,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,104.78771739
9,Half-Life: Blue Shift,Jun 1 2001,71,2219,5368650,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,26.7895635
10,Half-Life 2,Nov 16 2004,96,35792,9901173,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,98.91271827
11,Counter-Strike: Source,Nov 1 2004,88,53931,15433570,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,308.51706429999996
13,Day of Defeat: Source,Jul 12 2010,80,7185,6400269,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,63.938687310000006
17,Half-Life 2: Episode One,Jun 1 2006,87,4437,6298399,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,50.32420801
18,Portal,Oct 10 2007,90,27535,9795716,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,97.85920284000001
19,Half-Life 2: Episode Two,Oct 10 2007,90,6104,5735062,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,45.82314538
20,Team Fortress 2,Oct 10 2007,92,383949,37878812,True,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0
21,Left 4 Dead,Nov 17 2008,89,9980,4473517,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,89.42560483
22,Left 4 Dead 2,Nov 16 2009,89,140726,15574539,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,311.33503461
23,Dota 2,Jul 9 2013,90,590480,90687580,True,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
24,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
25,Alien Swarm,Jul 19 2010,77,14625,4819841,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0
26,Portal 2,Apr 18 2011,95,73128,8741499,False,False,True,True,False,False,False,False,False,False,False,False,False,19.99,19.99,174.74256501
27,Counter-Strike: Global Offensive,Aug 21 2012,83,1427633,25833156,True,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,387.23900844
28,Rag Doll Kung Fu,Oct 12 2005,69,0,35332,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.35296668
29,Red Orchestra: Ostfront 41-45,Mar 14 2006,81,1220,940689,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,9.39748311
30,Killing Floor,May 14 2009,72,44364,3496958,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,69.90419042
31,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
32,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
33,SiN Episodes: Emergence,May 10 2006,75,385,219883,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,2.19663117
34,Darwinia,Jul 14 2005,84,444,674354,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,6.73679646
35,Uplink,Aug 23 2006,75,1240,728339,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,7.27610661
36,DEFCON,Sep 29 2006,84,1655,811736,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,8.10924264
37,Multiwinia,Sep 19 2008,76,340,619832,False,True,False,False,False,False,False,False,False,False,False,False,False,9.99,9.99,6.19212168
38,Dangerous Waters,Feb 7 2006,82,112,53087,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,14.99,0.79577413
39,Space Empires IV Deluxe,Feb 7 2006,79,0,69946,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.69876054
41,Disciples II: Rise of the Elves,Jul 6 2006,80,299,106175,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49,6.49,0.68907575
42,Disciples II: Galleans Return,Jul 6 2006,84,400,113708,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49,6.49,0.73796492
43,Iron Warriors: T - 72 Tank Command,Jul 26 2006,56,210,43403,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.21658097
44,Space Empires V,Oct 16 2006,68,204,69408,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,14.99,1.0404259200000001
45,Arx Fatalis,Apr 3 2007,77,389,119806,False,False,False,False,False,False,True,False,False,False,False,False,False,4.99,4.99,0.5978319400000001
47,Earth 2160,Apr 1 2006,73,412,236024,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.17775976
48,Two Worlds Epic Edition,Apr 30 2009,65,2399,942661,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.41718339
49,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
50,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
52,Quake IV,Aug 4 2011,81,509,173790,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,2.6051121
56,DOOM II,Aug 3 2007,83,1279,443890,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,2.2150111
57,QUAKE,Aug 3 2007,94,1266,340047,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.69683453
61,QUAKE III: Team Arena,Aug 3 2007,69,0,317987,False,False,True,False,False,False,False,False,False,False,False,False,False,14.99,14.99,4.7666251299999995
65,The Ship: Murder Party,Jul 11 2006,76,5026,1364671,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,13.63306329
67,Bloody Good Time,Oct 29 2010,73,716,116936,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,0.58351064
68,Shadowgrounds,May 8 2006,74,973,565669,False,False,True,False,False,False,False,False,False,False,False,False,False,6.99,6.99,3.95402631
69,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
70,Gumboy - Crazy Adventures(tm),Dec 19 2006,69,0,72637,False,True,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.36245863
74,Vigil: Blood Bitterness(tm),Jun 29 2007,61,129,63310,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
75,Alpha Prime,Nov 7 2007,59,984,312427,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,4.99,1.55901073
76,Vampire: The Masquerade - Bloodlines,Mar 22 2007,80,3983,544326,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,10.88107674
77,GUN(tm),Oct 13 2006,76,351,70664,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,1.41257336
78,Call of Duty(r),Oct 13 2006,91,851,223470,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,4.4671653
79,Call of Duty(r) 2,Oct 13 2006,86,1307,340226,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,6.80111774
80,Call of Duty: United Offensive,Oct 13 2006,87,318,189034,False,False,True,False,False,False,False,False,False,False,False,False,False,19.99,19.99,3.7787896599999997
81,RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,81,2579,799182,False,False,False,False,False,True,False,True,False,False,False,False,False,19.99,19.99,15.975648179999999
82,Act of War: Direct Action,Mar 12 2008,82,109,22598,False,False,True,False,False,False,False,False,False,False,False,False,False,2.99,2.99,0.06756802
84,ARMA: Combat Operations,Mar 12 2008,74,181,45196,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,0.36111604
85,X2: The Threat,Jul 21 2006,72,183,231540,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.1553846
86,X3: Reunion,Jul 21 2006,71,280,357802,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,3.57444198
87,X3: Terran Conflict,Oct 16 2008,73,1262,544147,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99,15.99,8.70091053
88,X: Beyond the Frontier,Oct 8 2010,67,136,206611,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,4.99,1.03098889
90,X Rebirth,Nov 15 2013,33,5637,218806,False,False,True,False,False,False,False,True,False,False,False,False,False,29.99,29.99,6.5619919399999995
93,Sub Command,Oct 26 2006,84,0,38740,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.38701260000000004
94,FlatOut 2(tm),Dec 21 2006,76,2870,417346,False,False,False,False,False,False,False,False,False,False,False,True,False,9.99,9.99,4.16928654
96,Xpand Rally,Aug 24 2006,82,116,48245,False,False,False,False,False,False,False,False,False,False,False,True,False,4.99,4.99,0.24074255000000003
97,Call of Juarez(tm),Nov 8 2007,72,501,104381,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,1.04276619
99,Men of War: Red Tide,Nov 1 2009,77,228,243198,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.21355802
100,Kings Bounty: Armored Princess,Nov 19 2009,82,308,369998,False,False,False,False,False,True,True,False,False,False,False,False,False,9.99,2.49,0.9212950200000002
101,Painkiller: Black Edition,Jan 24 2007,81,0,24033,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,2.49,0.05984217000000001
102,Genesis Rising,Aug 6 2007,57,103,30669,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.15303831
103,Safecracker: The Ultimate Puzzle Adventure,Aug 29 2007,69,321,89854,False,False,False,True,True,False,False,False,False,False,False,False,False,4.99,4.99,0.44837146
104,Painkiller Overdose,Oct 30 2007,65,374,256111,False,False,True,False,False,False,False,False,False,False,False,False,False,4.99,1.24,0.31757764
128,Peggle(tm) Nights,Oct 15 2008,76,248,209839,False,False,False,False,True,False,False,False,False,False,False,False,False,4.99,4.99,1.04709661
129,Bejeweled Twist,Nov 18 2008,78,0,36049,False,False,False,False,True,True,False,False,False,False,False,False,False,4.99,4.99,0.17988451
132,Plants vs. Zombies GOTY Edition,May 5 2009,87,6207,1169180,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,5.8342082
135,Zumas Revenge!,Sep 15 2009,78,225,102767,False,False,True,False,True,False,False,False,False,False,False,False,False,4.99,4.99,0.51280733
136,Sniper Elite,Jul 16 2009,76,866,421292,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,4.20870708
137,Judge Dredd: Dredd vs. Death,Mar 26 2009,55,425,62772,False,False,True,False,False,False,False,False,False,False,False,False,False,7.99,7.99,0.5015482800000001
138,Evil Genius,Jun 22 2009,75,1195,220241,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,2.2002075899999998
140,Advent Rising,Sep 14 2006,70,226,47169,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.47121831
141,BloodRayne,Sep 14 2006,65,307,66718,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.6665128200000001
142,BloodRayne 2,Sep 14 2006,67,224,67256,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,0.6718874400000001
143,Psychonauts,Oct 11 2006,87,5130,1413633,False,False,True,False,False,False,False,False,False,False,False,False,False,9.99,9.99,14.12219367
144,Sid Meiers Civilization(r) IV,Oct 25 2006,94,887,1422601,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99,19.99,28.43779399
145,Sid Meiers Civilization(r) III Complete,Oct 25 2006,90,1328,1097619,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,5.47711881
146,Sid Meiers Pirates!,Jul 11 2005,88,1641,800437,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,7.99636563
147,Shattered Union,Oct 25 2006,67,0,41788,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.20852212
