,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
45,Arx Fatalis,Apr 3 2007,77,389,119806,False,False,False,False,False,False,True,False,False,False,False,False,False,4.99,4.99,0.5978319400000001
48,Two Worlds Epic Edition,Apr 30 2009,65,2399,942661,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.41718339
49,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
50,Dark Messiah of Might & Magic,Oct 25 2006,72,2776,966156,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,9.65189844
65,The Ship: Murder Party,Jul 11 2006,76,5026,1364671,False,True,True,False,False,False,True,False,False,False,False,False,False,9.99,9.99,13.63306329
66,The Ship: Single Player,Nov 20 2006,0,706,1327366,False,True,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
74,Vigil: Blood Bitterness(tm),Jun 29 2007,61,129,63310,False,True,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
100,Kings Bounty: Armored Princess,Nov 19 2009,82,308,369998,False,False,False,False,False,True,True,False,False,False,False,False,False,9.99,2.49,0.9212950200000002
146,Sid Meiers Pirates!,Jul 11 2005,88,1641,800437,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,7.99636563
156,Silverfall,Mar 20 2007,62,0,38201,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,0.38162799
158,Silverfall: Earth Awakening,Jul 18 2008,0,0,33897,False,False,False,False,False,False,True,False,False,False,False,False,False,9.99,9.99,0.33863103000000006
159,S.T.A.L.K.E.R.: Shadow of Chernobyl,Mar 20 2007,82,4657,1029825,False,False,True,False,False,False,True,False,False,False,False,False,False,19.99,19.99,20.58620175
162,Titan Quest,Jun 26 2007,77,2218,1594238,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
163,Titan Quest - Immortal Throne,Mar 5 2007,80,2216,1047402,False,False,True,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.0
195,Dreamfall: The Longest Journey,Jan 12 2007,75,397,148143,False,False,False,True,False,False,True,False,False,False,False,False,False,19.99,19.99,2.96137857
196,The Longest Journey,May 1 2007,91,737,220421,False,False,True,True,False,False,True,False,False,False,False,False,False,9.99,9.99,2.20200579
