,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
240,Cabelas(r) Big Game Hunter(tm) Trophy Bucks,May 16 2008,0,0,14527,False,False,False,False,False,False,False,False,False,False,True,False,False,19.99,19.99,0.29039473
270,GTR 2 FIA GT Racing Game,Dec 12 2012,0,132,91468,False,False,False,False,False,False,False,True,False,False,True,True,False,7.99,7.99,0.7308293200000001
316,3D Ultra(tm) Minigolf Adventures,Jul 23 2009,0,0,10402,False,False,False,False,False,False,False,False,False,False,True,False,False,9.99,4.99,0.051905980000000004
328,Beijing 2008(tm) - The Official Video Game of the Olympic Games,Aug 14 2008,0,0,1347,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.0
399,Hunting Unlimited 2010,Jul 7 2009,0,120,44479,False,False,False,False,False,False,False,True,False,False,True,False,False,9.99,9.99,0.44434521000000005
447,AaAaAA!!! - A Reckless Disregard for Gravity,Sep 3 2009,81,579,173969,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,1.73795031
449,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Nov 23 2011,0,876,268666,False,True,True,False,False,False,False,False,False,False,True,False,False,9.99,9.99,2.6839733399999997
477,Trials 2: Second Edition,May 28 2008,0,169,107251,False,True,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,1.0714374899999999
478,Monster Trucks Nitro,Jan 29 2009,0,0,16680,False,True,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,0.33343319999999993
521,Zero Gear,Jan 12 2010,0,716,117295,False,True,True,False,False,False,False,False,False,False,True,True,False,4.99,4.99,0.58530205
536,Galactic Bowling,Oct 21 2008,0,0,6277,False,True,False,False,True,False,False,False,False,False,True,False,False,19.99,19.99,0.12547723
634,Cricket Revolution,Oct 28 2009,0,104,23136,False,True,False,False,False,False,False,True,False,False,True,False,False,2.99,2.99,0.06917664
656,Summer Athletics,Apr 2 2009,0,0,6995,False,False,False,False,False,False,False,False,False,False,True,False,False,19.99,19.99,0.13983004999999998
688,Poker Night at the Inventory,Nov 22 2010,71,5551,1037358,False,False,False,False,True,False,False,False,False,False,True,False,False,4.99,4.99,5.17641642
712,Zombie Bowl-o-Rama,Oct 15 2009,0,180,44479,False,False,False,False,True,False,False,False,False,False,True,False,False,9.99,9.99,0.44434521000000005
713,Metal Drift,Oct 22 2009,0,112,44837,False,True,True,False,False,False,False,False,False,False,True,True,False,9.99,9.99,0.44792163
791,Vancouver 2010(tm) - The Official Video Game of the Olympic Winter Games,Feb 18 2010,57,0,10582,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.0
1095,F1 2010(tm),Sep 21 2010,84,250,86626,False,False,False,False,False,False,False,True,False,False,True,True,False,9.99,9.99,0.86539374
1097,GRID 2,May 27 2013,80,9495,1053858,False,False,False,False,False,False,False,False,False,False,True,True,False,29.99,29.99,31.605201419999997
1098,F1 2011,Sep 19 2011,83,171,69588,False,False,False,False,False,False,False,True,False,False,True,True,False,14.99,14.99,1.04312412
1099,GTR - FIA GT Racing Game,Sep 25 2012,0,0,72278,False,False,False,False,False,False,False,False,False,False,True,True,False,6.99,6.99,0.5052232200000001
1101,GT Legends,Nov 28 2012,84,171,128594,False,False,False,False,False,False,False,True,False,False,True,True,False,7.99,7.99,1.02746606
1254,Blood Bowl(r) Legendary Edition,Oct 28 2010,73,742,504331,False,False,False,False,False,True,False,False,False,False,True,False,False,19.99,19.99,10.08157669
1277,Monday Night Combat,Jan 24 2011,82,744,314220,False,True,True,False,False,True,False,False,False,False,True,False,False,4.99,4.99,1.5679578
1278,Monday Night Combat,Jan 24 2011,82,744,0,False,True,True,False,False,True,False,False,False,False,True,False,False,4.99,4.99,0.0
1330,Worms Crazy Golf,Oct 19 2011,0,404,467206,False,False,False,False,False,True,False,False,False,False,True,False,False,9.99,9.99,4.66738794
1357,SEGA Bass Fishing,Mar 4 2011,0,248,257725,False,False,False,False,False,False,False,True,False,False,True,False,False,7.99,7.99,2.05922275
1409,Nidhogg,Jan 13 2014,81,5040,648169,False,True,True,False,False,False,False,False,False,False,True,False,False,14.99,14.99,9.716053310000001
1470,Super MNC,Apr 19 2012,76,4379,1382247,False,True,True,False,False,True,False,False,False,True,True,False,False,0.0,0.0,0.0
1510,Smash Cars,Oct 18 2011,0,0,6277,False,False,True,False,False,False,False,False,False,False,True,True,False,9.99,9.99,0.06270723
1571,DiRT Showdown,May 23 2012,72,2680,764567,False,False,True,False,False,False,False,False,False,False,True,True,False,14.99,14.99,11.46085933
1676,SpeedRunners,Apr 19 2016,84,15156,1231414,False,True,True,False,True,False,False,False,False,False,True,True,False,14.99,14.99,18.45889586
1680,Tony Hawks Pro Skater(r) HD,Sep 18 2012,0,1304,126980,False,False,False,False,False,False,False,False,False,False,True,False,False,9.99,9.99,1.2685302
1710,F1 2012(tm),Sep 17 2012,80,1042,324981,False,False,False,False,False,False,False,True,False,False,True,True,False,19.99,19.99,6.4963701899999995
1736,Dungeonbowl - Knockout Edition,Jul 2 2012,0,0,38740,False,False,False,False,False,True,False,False,False,False,True,False,False,14.99,14.99,0.5807126
1761,Pro Cycling Manager 2012,Jun 22 2012,0,0,20805,False,False,False,False,False,False,False,True,False,False,True,False,False,9.99,9.99,0.20784195000000003
1783,RaceRoom Racing Experience,Feb 12 2013,0,5750,3133058,True,False,False,False,False,False,False,True,False,True,True,True,False,0.0,0.0,0.0
1802,Sonic & All-Stars Racing Transformed,Jan 31 2013,79,8242,805638,False,False,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,16.10470362
1808,New Star Soccer 5,Sep 27 2012,0,241,36229,False,True,False,False,False,False,False,True,False,False,True,False,False,14.99,14.99,0.54307271
1817,ThunderWheels Demo,Apr 7 2012,0,0,0,False,True,False,False,True,False,False,False,False,False,True,True,False,0.0,0.0,0.0
1827,Cabelas(r) Hunting Expeditions,Oct 22 2012,0,0,9864,False,False,False,False,False,False,False,True,False,False,True,False,False,29.99,29.99,0.29582136
1874,Don Bradman Cricket 14,Jun 25 2014,0,341,20267,False,True,False,False,False,False,False,True,False,False,True,False,False,39.99,39.99,0.8104773300000001
1879,Blood Bowl: Chaos Edition,Oct 11 2012,0,1158,266693,False,False,False,False,False,True,False,False,False,False,True,False,False,29.99,29.99,7.998123069999999
1918,NBA 2K13,Oct 30 2012,90,451,108686,False,False,False,False,False,False,False,False,False,False,True,False,False,29.99,29.99,3.2594931399999996
1925,Pro Cycling Manager 2013,Jun 20 2013,0,118,34076,False,False,False,False,False,False,False,True,False,False,True,False,False,9.99,9.99,0.34041924
1994,F1 2013,Oct 3 2013,77,3188,260416,False,False,False,False,False,False,False,True,False,False,True,True,False,24.99,24.99,6.50779584
2008,Fast & Furious(tm): Showdown,May 21 2013,0,117,20267,False,False,True,False,False,False,False,False,False,False,True,True,False,29.99,29.99,0.60780733
2044,F1 2014,Oct 16 2014,61,1096,136844,False,False,False,False,False,False,False,False,False,False,True,True,False,29.99,29.99,4.10395156
2049,MUD Motocross World Championship,Feb 26 2013,0,0,12913,False,False,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,0.12900087000000002
2087,Next Car Game: Wreckfest,Jan 14 2014,0,6056,317449,False,True,True,False,False,False,False,True,True,False,True,True,False,39.99,39.99,12.694785509999999
2091,TrackMania2 Canyon,Feb 27 2013,81,916,170920,False,False,False,False,False,False,False,False,False,False,True,True,False,19.99,19.99,3.4166908
2116,Lords of Football,Apr 5 2013,52,215,41609,False,True,False,False,False,True,False,True,False,False,True,False,False,14.99,14.99,0.62371891
2148,TrackMania2 Stadium,Jun 20 2013,0,0,332514,False,False,False,False,False,False,False,False,False,False,True,True,False,9.99,9.99,3.32181486
2193,Project CARS,Mar 15 2015,83,0,563158,False,False,False,False,False,False,False,True,False,False,True,True,False,29.99,29.99,16.88910842
2196,Poker Night 2,Apr 26 2013,75,0,705382,False,False,False,False,True,False,False,False,False,False,True,False,False,4.99,4.99,3.51985618
2234,Blood Bowl 2,Sep 22 2015,76,1925,165002,True,False,False,False,False,True,False,False,False,False,True,False,False,44.99,44.99,7.42343998
2244,Frozen Cortex,Feb 19 2015,79,237,53805,False,True,False,False,False,True,False,False,False,False,True,False,False,24.99,24.99,1.34458695
