,Games,ReleaseDate,Rating,Recommendations,Owners,CategoryInAppPurchase,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,RevenueMillions
23,Dota 2,Jul 9 2013,90,590480,90687580,True,False,True,False,False,True,False,False,False,True,False,False,False,0.0,0.0,0.0
34,Darwinia,Jul 14 2005,84,444,674354,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,6.73679646
35,Uplink,Aug 23 2006,75,1240,728339,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,7.27610661
36,DEFCON,Sep 29 2006,84,1655,811736,False,True,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,8.10924264
38,Dangerous Waters,Feb 7 2006,82,112,53087,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,14.99,0.79577413
39,Space Empires IV Deluxe,Feb 7 2006,79,0,69946,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.69876054
40,Jagged Alliance 2 Gold,Jul 6 2006,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99,19.99,0.0
41,Disciples II: Rise of the Elves,Jul 6 2006,80,299,106175,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49,6.49,0.68907575
42,Disciples II: Galleans Return,Jul 6 2006,84,400,113708,False,False,False,False,False,True,False,False,False,False,False,False,False,6.49,6.49,0.73796492
43,Iron Warriors: T - 72 Tank Command,Jul 26 2006,56,210,43403,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.21658097
44,Space Empires V,Oct 16 2006,68,204,69408,False,False,False,False,False,True,False,False,False,False,False,False,False,14.99,14.99,1.0404259200000001
47,Earth 2160,Apr 1 2006,73,412,236024,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.17775976
81,RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,81,2579,799182,False,False,False,False,False,True,False,True,False,False,False,False,False,19.99,19.99,15.975648179999999
83,ThreadSpace: Hyperbol,Jul 12 2007,0,0,26544,False,True,True,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.26517456
85,X2: The Threat,Jul 21 2006,72,183,231540,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.1553846
86,X3: Reunion,Jul 21 2006,71,280,357802,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,3.57444198
87,X3: Terran Conflict,Oct 16 2008,73,1262,544147,False,False,True,False,False,True,False,True,False,False,False,False,False,15.99,15.99,8.70091053
88,X: Beyond the Frontier,Oct 8 2010,67,136,206611,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,4.99,1.03098889
89,X: Tension,Oct 8 2010,0,0,199975,False,False,False,False,False,True,False,True,False,False,False,False,False,4.99,4.99,0.99787525
91,688(I) Hunter/Killer,Oct 26 2006,0,0,40354,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.40313646000000003
92,Fleet Command,Oct 26 2006,0,0,40712,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.40671288
93,Sub Command,Oct 26 2006,84,0,38740,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,0.38701260000000004
99,Men of War: Red Tide,Nov 1 2009,77,228,243198,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,1.21355802
100,Kings Bounty: Armored Princess,Nov 19 2009,82,308,369998,False,False,False,False,False,True,True,False,False,False,False,False,False,9.99,2.49,0.9212950200000002
102,Genesis Rising,Aug 6 2007,57,103,30669,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.15303831
129,Bejeweled Twist,Nov 18 2008,78,0,36049,False,False,False,False,True,True,False,False,False,False,False,False,False,4.99,4.99,0.17988451
132,Plants vs. Zombies GOTY Edition,May 5 2009,87,6207,1169180,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,5.8342082
138,Evil Genius,Jun 22 2009,75,1195,220241,False,False,False,False,False,True,False,False,False,False,False,False,False,9.99,9.99,2.2002075899999998
144,Sid Meiers Civilization(r) IV,Oct 25 2006,94,887,1422601,False,False,False,False,False,True,False,False,False,False,False,False,False,19.99,19.99,28.43779399
145,Sid Meiers Civilization(r) III Complete,Oct 25 2006,90,1328,1097619,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,5.47711881
147,Shattered Union,Oct 25 2006,67,0,41788,False,False,False,False,False,True,False,False,False,False,False,False,False,4.99,4.99,0.20852212
